"table_name","column_name","data_type","character_maximum_length","is_nullable","column_default"
"informatii_de_business_publish","punct_de_consum","bigint",NULL,"NO",NULL
"informatii_de_business_publish","punct_de_consum_str","text",NULL,"YES",NULL
"informatii_de_business_publish","numar_instalatie","text",NULL,"YES",NULL
"informatii_de_business_publish","partener_de_afaceri","text",NULL,"YES",NULL
"informatii_de_business_publish","partener_de_afaceri_descriere","text",NULL,"YES",NULL
"informatii_de_business_publish","clasa_contract","text",NULL,"YES",NULL
"informatii_de_business_publish","categorie_tarif","text",NULL,"YES",NULL
"informatii_de_business_publish","tip_facturare","text",NULL,"YES",NULL
"informatii_de_business_publish","invoicing_party","text",NULL,"YES",NULL
"informatii_de_business_publish","judet","text",NULL,"YES",NULL
"informatii_de_business_publish","localitate","text",NULL,"YES",NULL
"informatii_de_business_publish","strada","text",NULL,"YES",NULL
"informatii_de_business_publish","subregiune","text",NULL,"YES",NULL
"informatii_de_business_publish","nivel_tensiune","text",NULL,"YES",NULL
"informatii_de_business_publish","urban_rural","text",NULL,"YES",NULL
"informatii_de_business_publish","partner","text",NULL,"YES",NULL
"informatii_de_business_publish","name","text",NULL,"YES",NULL
"informatii_de_business_publish","reg_number","text",NULL,"YES",NULL
"informatii_de_business_publish","cif_number","text",NULL,"YES",NULL
"informatii_de_business_publish","region","text",NULL,"YES",NULL
"informatii_de_business_publish","region_name","text",NULL,"YES",NULL
"informatii_de_business_publish","city","text",NULL,"YES",NULL
"informatii_de_business_publish","ind_sector","text",NULL,"YES",NULL
"informatii_de_business_publish","ind_sector_desc","text",NULL,"YES",NULL
